timestamp_s,pid,cpu,comm,ctx_switches,voluntary_switches,involuntary_switches,cpu_migrations,total_runtime_ns,avg_runq_latency_ns,max_runq_latency_ns,minor_faults,kernel_faults,kmalloc_count,kfree_count,total_alloc_bytes,total_free_bytes,large_page_allocs,syscall_count,avg_syscall_latency_ns,max_syscall_latency_ns,read_count,write_count,read_bytes,write_bytes,mmap_count,futex_count,avg_futex_latency_ns,epoll_count,avg_epoll_latency_ns,poll_count,syscall_error_count,mutex_contentions,avg_mutex_wait_ns,max_mutex_wait_ns,rwsem_read_contentions,avg_rwsem_read_wait_ns,rwsem_write_contentions,avg_rwsem_write_wait_ns,max_rwsem_write_wait_ns,label
1774161156.348,7989,10,TaskCon~ller #1,1,1,0,0,45365,4729,4729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,96,11,migration/11,17,17,0,0,279353,6794,24566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,96353,5,Web Content,12,12,0,0,593824,3830,6261,0,0,8,20,4096,0,0,88,92391261,1016391105,24,16,24,16,0,12,1881,4,1016357307,32,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,7755,5,Timer,160,160,0,0,1631960,1701,4298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82629,4,ThreadPoolForeg,1,1,0,0,97943,23083,23083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,4190,2,gdbus,3,3,0,0,449712,101229,299150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82495,14,libuv-worker,2,2,0,0,69040,2815,3546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82674,9,ThreadPoolForeg,4,4,0,0,281137,17242,25458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102143,7,stress-ng-vm,8,3,5,0,238634123,0,0,2,0,112080,112147,459079680,0,0,112081,1177,33522,112081,0,896648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,3851,5,systemd,4,4,0,0,2201329,1941,2766,0,0,108,148,68168,0,0,39,483774669,18867033461,17,20,1838,375,0,0,0,2,9433525181,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102251,14,docker,14,13,1,0,440434,10641,103924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,1085,1,systemd-resolve,2,2,0,0,522158,6872,11351,0,0,12,160,17024,0,0,6,97607435,585511204,2,2,4,110,0,0,0,2,292792746,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,83775,1,cpptools,1,1,0,0,12213,3396,3396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82400,4,ThreadPoolServi,1,1,0,0,45284,2465,2465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102228,9,pool-9971,16,14,2,0,187460,49421,459399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
