timestamp_ns,pid,cpu,comm,ctx_switches,voluntary_switches,involuntary_switches,cpu_migrations,total_runtime_ns,stall_ns,avg_stall_ns,max_stall_ns,latency_count,avg_runq_ratio,minor_faults,major_faults,kmalloc_count,kfree_count,total_alloc_bytes,total_free_bytes,large_page_allocs,syscall_count,avg_syscall_latency_ns,max_syscall_latency_ns,read_count,write_count,read_bytes,write_bytes,mmap_count,futex_count,avg_futex_latency_ns,epoll_count,avg_epoll_latency_ns,poll_count,syscall_error_count,mutex_contentions,avg_mutex_wait_ns,max_mutex_wait_ns,rwsem_read_contentions,avg_rwsem_read_wait_ns,rwsem_write_contentions,avg_rwsem_write_wait_ns,max_rwsem_write_wait_ns,session_label
14418171774280,8489,0,glean.dispatche,3599,3555,44,250,113251732,23141233,6444,1502082,3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14391397064794,8744,15,Timer,19,19,0,1,385200,94417,4969,19877,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14343329086432,146671,1,docker,9,8,1,0,416491,18043,2004,4548,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14418467057981,57842,0,GraphRunner,660,641,19,54,41812979,6382289,9670,63148,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14398951165699,147163,10,pool-10372,42,42,0,2,1512069,98665,2349,8035,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14419461075511,105193,12,code,532,528,4,27,17917670,3814209,7183,57087,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14410048538265,53266,2,IPC I/O Child,167,166,1,23,10267502,1269988,7743,29586,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14392667910540,8684,4,Timer,3,3,0,1,93214,11942,3980,9187,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14419030234484,1143,9,systemd-logind,12,11,1,0,1312465,83206,7564,16000,11,0,0,0,1,16,1024,0,0,35,1914664073,62967457318,16,0,384,0,0,0,0,19,3527010351,0,0,35,843,1893,0,0,0,0,0,idle_baseline
14351017874727,100255,7,kworker/u64:27,6,1,5,1,157674,11322,2264,3356,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,367,541,0,0,0,0,0,idle_baseline
14417269685339,147574,15,gly-rayon-12,2,0,2,1,268402,1763,1763,1763,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14415941059991,1157,1,rtkit-daemon,13,13,0,0,397184,130975,10075,30106,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14343953358914,104974,4,libuv-worker,2,2,0,1,56125,10951,5475,5591,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14389009256609,4228,1,async-io,6,6,0,2,62497,10470,1745,2394,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14358002075447,36177,12,gdbus,32,31,1,1,5183435,308539,9641,19727,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14371735368082,146920,14,docker,11,10,1,0,380233,88356,8032,37511,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14417254238042,129937,4,kworker/u64:1,560,74,486,82,18724051,2559859,4705,42800,544,0,0,0,64,1501,246912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237,625,29876,27,724,0,0,0,idle_baseline
14383305835278,146802,12,StreamTrans #14,3,2,1,0,187161,51606,17202,37771,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14409305662066,27797,1,Isolated Web Co,19,16,3,2,4131536,155302,8627,17663,18,0,0,0,3,16,3584,0,0,74,4733,12103,34,21,34,21,0,19,3261,0,0,0,0,71,827,1793,0,0,0,0,0,idle_baseline
14337246136692,146630,13,docker,1,0,1,1,32571,7214,7214,7214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14417267898114,147532,1,gly-rayon-3,39,1,38,1,215927,40496,20248,38602,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14410071865073,54171,11,IPC I/O Child,54,54,0,5,3349889,439516,8139,16862,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14352131094690,9088,1,threaded-ml,23,22,1,1,1991391,199924,8692,15759,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
