y,session_label,comm,iso_outlier,lof_outlier,both_flagged,cluster_KMeans (k=4),cluster_GMM (k=4),cluster_Agglomerative (k=4),cluster_DBSCAN,orig_index
0,unknown,cpuUsage.sh,0,0,False,2,0,1,-1,139
0,unknown,Thread-164 (_ha,0,0,False,0,1,2,0,140
0,unknown,Thread-96 (work,0,0,False,0,1,2,0,141
0,unknown,cat,0,0,False,2,0,1,6,142
0,unknown,kworker/u32:2,1,0,False,2,0,1,-1,143
0,unknown,TaskCon~ller #4,0,0,False,0,1,2,0,144
0,unknown,Thread-197 (_ha,0,1,False,0,1,2,-1,145
0,unknown,kworker/u32:3,0,0,False,2,0,1,-1,146
0,unknown,Thread-127 (wor,0,0,False,0,1,2,-1,147
0,unknown,Thread-55 (_han,0,0,False,0,1,2,0,148
0,unknown,Thread-7 (worke,0,0,False,0,1,2,0,149
0,unknown,Thread-58 (work,0,0,False,0,1,2,0,150
0,unknown,Thread-19 (work,0,0,False,0,1,2,0,151
0,unknown,code,1,1,True,2,3,1,-1,152
2,unknown,StyleThread#5,0,1,False,0,1,1,-1,153
0,unknown,DOM Worker,0,0,False,0,1,2,0,154
0,unknown,Thread-16 (work,0,0,False,0,1,2,0,155
0,unknown,ImageIO,0,0,False,0,1,1,-1,156
0,unknown,Thread-153 (_ha,0,1,False,0,1,2,-1,157
0,unknown,Timer,0,0,False,0,1,2,0,158
0,unknown,Thread-62 (work,0,0,False,0,1,2,0,159
0,unknown,ibus-x11,0,0,False,2,0,1,-1,160
0,unknown,Thread-7 (worke,0,0,False,0,1,2,0,161
0,unknown,DelayedTaskSche,0,0,False,0,1,2,0,162
1,unknown,Thread-143 (_ha,0,0,False,0,1,2,-1,163
1,unknown,WorkerThread,0,0,False,0,1,2,0,164
0,unknown,DelayedTaskSche,0,0,False,0,1,2,0,165
0,unknown,Thread-11 (_han,0,0,False,0,1,2,0,166
0,unknown,Thread-16 (work,0,0,False,0,1,2,0,167
0,unknown,sleep,0,0,False,0,1,1,-1,168
0,unknown,Indexed~IO #253,0,0,False,0,1,2,0,169
1,unknown,Thread-129 (wor,0,0,False,0,1,2,-1,170
0,unknown,Thread-109 (_ha,0,0,False,0,1,2,0,171
0,unknown,Thread-66 (_han,0,0,False,0,1,2,0,172
1,unknown,Thread-153 (_ha,0,0,False,0,1,2,0,173
0,unknown,sleep,0,0,False,2,0,1,-1,174
0,unknown,StreamT~ns #621,0,0,False,0,1,2,0,175
0,unknown,code,0,0,False,2,0,1,-1,176
0,unknown,V8Worker,0,0,False,0,1,2,-1,177
0,unknown,Thread-21 (_han,0,0,False,0,1,2,0,178
0,unknown,bpftool,1,0,False,2,0,1,-1,179
0,unknown,Thread-20 (_han,0,0,False,0,1,2,2,180
0,unknown,Thread-66 (_han,0,0,False,0,1,2,-1,181
0,unknown,Chrome_ChildIOT,0,0,False,0,1,2,-1,182
0,unknown,cpuUsage.sh,0,0,False,2,0,1,15,183
0,unknown,Thread-85 (work,0,0,False,0,1,2,0,184
0,unknown,bpftool,1,1,True,2,0,1,-1,185
0,unknown,Thread-55 (_han,0,0,False,0,1,2,0,186
1,unknown,localsearch-3,0,0,False,2,0,1,-1,187
0,unknown,StreamT~ns #631,0,0,False,0,1,2,0,188
0,unknown,Thread-83 (work,0,0,False,0,1,2,0,189
1,unknown,WRWorkerLP#7,0,0,False,0,1,1,-1,190
0,unknown,StreamTrans #72,0,0,False,0,1,2,-1,191
0,unknown,kworker/2:1H,1,1,True,0,0,1,-1,192
0,unknown,Timer,0,0,False,0,1,2,-1,193
1,unknown,gdbus,0,0,False,0,1,2,0,194
0,unknown,Thread-16 (work,0,0,False,0,1,2,0,195
0,unknown,Thread-14 (work,0,0,False,0,1,2,0,196
0,unknown,Thread-111 (wor,0,0,False,0,1,2,-1,197
0,unknown,pet,0,0,False,0,1,2,11,198
1,unknown,cpuUsage.sh,0,0,False,0,1,1,7,199
0,unknown,Thread-13 (work,0,0,False,0,1,2,0,200
1,unknown,cpuUsage.sh,0,0,False,2,0,1,-1,201
0,unknown,TaskCon~ller #1,0,0,False,0,1,2,-1,202
0,unknown,TaskCon~ller #2,0,0,False,0,1,2,0,203
0,unknown,Backgro~Pool #2,0,0,False,0,1,2,8,204
0,unknown,ThreadPoolForeg,0,0,False,0,1,2,-1,205
0,unknown,Timer,0,0,False,0,1,2,-1,206
0,unknown,git,1,1,True,2,0,1,-1,207
0,unknown,cpuUsage.sh,0,0,False,2,0,1,-1,208
0,unknown,code,0,0,False,0,1,1,-1,209
1,unknown,Thread-191 (wor,0,0,False,0,1,2,-1,210
1,unknown,DedicatedWorker,0,0,False,0,1,2,-1,211
0,unknown,rcu_preempt,0,1,False,0,1,1,-1,212
0,unknown,Thread-30 (work,0,0,False,0,1,2,0,213
0,unknown,Isolated Web Co,1,0,False,2,0,1,-1,214
1,unknown,sqldb:c~lite #9,0,0,False,0,1,2,0,215
0,unknown,Web Content,0,0,False,2,0,1,-1,216
0,unknown,Thread-25 (work,0,0,False,0,1,2,0,217
0,unknown,WRWorker#3,0,0,False,0,1,1,-1,218
0,unknown,FSBroker20107,0,0,False,0,1,2,8,219
0,unknown,pet,0,1,False,0,1,2,0,220
0,unknown,Thread-72 (work,0,0,False,0,1,2,0,221
0,unknown,IPC I/O Child,0,0,False,0,1,2,-1,222
0,unknown,Thread-96 (work,0,0,False,0,1,2,0,223
0,unknown,sleep,0,0,False,0,1,1,-1,224
0,unknown,Chrome_ChildIOT,0,0,False,0,1,2,0,225
0,unknown,TaskCon~ller #3,0,0,False,0,1,2,0,226
0,unknown,blocking-70,0,0,False,0,1,2,0,227
0,unknown,Thread-154 (_ha,0,0,False,0,1,2,0,228
0,unknown,StreamTrans #29,0,0,False,0,1,1,-1,229
1,unknown,Thread-162 (wor,0,0,False,0,1,2,-1,230
0,unknown,StreamT~ns #626,0,0,False,0,1,1,-1,231
0,unknown,MediaTimer #70,0,0,False,0,1,2,8,232
0,unknown,sed,0,0,False,2,0,1,-1,233
0,unknown,Thread-201 (wor,0,0,False,0,1,2,-1,234
0,unknown,gdbus,0,0,False,0,1,2,0,235
0,unknown,sed,0,1,False,2,0,1,-1,237
0,unknown,python,1,1,True,2,3,1,-1,238
0,unknown,python,1,1,True,2,3,1,-1,239
0,unknown,gdbus,0,0,False,0,1,2,-1,240
0,unknown,Timer,0,0,False,0,1,2,0,241
