accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,mcc,quadratic_weighted_kappa,mean_absolute_error,mean_squared_error,average_severity_distance,adjacent_accuracy,severe_error_rate,model,fold
0.6831742726589161,0.5954504321912854,0.522821141763961,0.5501519562054545,0.522821141763961,0.4171305841104702,0.4963648173451648,0.40084446758054254,0.5829718318005669,0.40084446758054254,0.923026201631095,0.07697379836890508,HistGradientBoostingClassifier,5
0.6729710541323805,0.6744254774057021,0.5826996304295287,0.6085872802391636,0.5826996304295287,0.4879513465814298,0.5411503359227564,0.41086372048091807,0.5977606815721784,0.41086372048091807,0.925778931319033,0.07422106868096695,XGBoostClassifier,1
0.6965753980679353,0.6908435885764487,0.6317966806464822,0.651987918941337,0.6317966806464822,0.5002443755926134,0.5605863131913131,0.3648540514212156,0.4971529299887509,0.3648540514212156,0.9432905403054657,0.05670945969453432,XGBoostClassifier,2
0.7264392176737543,0.6846418352724657,0.63417234127886,0.6534332562430558,0.63417234127886,0.5492589833719058,0.6220062402881736,0.3327305397498215,0.4603077702780529,0.3327305397498215,0.9454491004169642,0.05455089958303578,XGBoostClassifier,3
0.5715050136100319,0.47497920610959027,0.4441712756343093,0.4452542471035091,0.4441712756343093,0.2244936882837298,0.10453326890027415,0.6596677756322267,1.1310401786752902,0.6596677756322267,0.7733406230370147,0.22665937696298535,XGBoostClassifier,4
0.6884377349759963,0.6031944865449821,0.5389728125273436,0.5640325836802709,0.5389728125273436,0.428860827489529,0.5155332587930184,0.3921105905489039,0.5656313262768234,0.3921105905489039,0.9256637168141593,0.0743362831858407,XGBoostClassifier,5
0.6685366449795738,0.6693031945328319,0.5775470674477795,0.6025705127327106,0.5775470674477795,0.4809081717109273,0.5318056280014958,0.4176375423363866,0.6099814941980237,0.4176375423363866,0.9238236012988978,0.0761763987011022,LightGBMClassifier,1
0.6939428730473507,0.6830704631254144,0.6285348693340559,0.6463397875043,0.6285348693340559,0.49596327696828935,0.5492428931229476,0.37081492305372904,0.5110461677625857,0.37081492305372904,0.940600030152269,0.05939996984773104,LightGBMClassifier,2
0.7242968048100624,0.6830444431576004,0.632292693010571,0.6512815400449308,0.632292693010571,0.5452130557175384,0.6182025473100123,0.33563316362966206,0.4648690363749453,0.33563316362966206,0.9447579994931926,0.055242000506807346,LightGBMClassifier,3
0.7353953888746714,0.5907647199034141,0.4953280031559416,0.5297512195930515,0.4953280031559416,0.410826442420883,0.46648561000176425,0.32892073610497174,0.4656724751646,0.32892073610497174,0.9397436195705279,0.060256380429472116,LightGBMClassifier,4
0.6865290068829892,0.5988426073948938,0.5248444507294776,0.5524492499546513,0.5248444507294776,0.4219305682490756,0.5056310479853854,0.3948753542715021,0.5709873329862919,0.3948753542715021,0.9252472670484123,0.07475273295158771,LightGBMClassifier,5
